Date,ICSA
1986-10-20,387000.0
1986-10-21,387000.0
1986-10-22,387000.0
1986-10-23,385000.0
1986-10-24,385000.0
1986-10-27,385000.0
1986-10-28,385000.0
1986-10-29,385000.0
1986-10-30,370000.0
1986-10-31,370000.0
1986-11-03,370000.0
1986-11-04,370000.0
1986-11-05,370000.0
1986-11-06,364000.0
1986-11-07,364000.0
1986-11-10,364000.0
1986-11-11,364000.0
1986-11-12,364000.0
1986-11-13,349000.0
1986-11-14,349000.0
1986-11-17,349000.0
1986-11-18,349000.0
1986-11-19,349000.0
1986-11-20,368000.0
1986-11-21,368000.0
1986-11-24,368000.0
1986-11-25,368000.0
1986-11-26,368000.0
1986-11-28,368000.0
1986-12-01,368000.0
1986-12-02,368000.0
1986-12-03,368000.0
1986-12-04,366000.0
1986-12-05,366000.0
1986-12-08,366000.0
1986-12-09,366000.0
1986-12-10,366000.0
1986-12-11,363000.0
1986-12-12,363000.0
1986-12-15,363000.0
1986-12-16,363000.0
1986-12-17,363000.0
1986-12-18,375000.0
1986-12-19,375000.0
1986-12-22,375000.0
1986-12-23,375000.0
1986-12-24,375000.0
1986-12-26,375000.0
1986-12-29,375000.0
1986-12-30,375000.0
1986-12-31,375000.0
1987-01-02,375000.0
1987-01-05,375000.0
1987-01-06,375000.0
1987-01-07,375000.0
1987-01-08,323000.0
1987-01-09,323000.0
1987-01-12,323000.0
1987-01-13,323000.0
1987-01-14,323000.0
1987-01-15,348000.0
1987-01-16,348000.0
1987-01-19,348000.0
1987-01-20,348000.0
1987-01-21,348000.0
1987-01-22,341000.0
1987-01-23,341000.0
1987-01-26,341000.0
1987-01-27,341000.0
1987-01-28,341000.0
1987-01-29,346000.0
1987-01-30,346000.0
1987-02-02,346000.0
1987-02-03,346000.0
1987-02-04,346000.0
1987-02-05,370000.0
1987-02-06,370000.0
1987-02-09,370000.0
1987-02-10,370000.0
1987-02-11,370000.0
1987-02-12,368000.0
1987-02-13,368000.0
1987-02-17,368000.0
1987-02-18,368000.0
1987-02-19,338000.0
1987-02-20,338000.0
1987-02-23,338000.0
1987-02-24,338000.0
1987-02-25,338000.0
1987-02-26,341000.0
1987-02-27,341000.0
1987-03-02,341000.0
1987-03-03,341000.0
1987-03-04,341000.0
1987-03-05,348000.0
1987-03-06,348000.0
1987-03-09,348000.0
1987-03-10,348000.0
1987-03-11,348000.0
1987-03-12,337000.0
1987-03-13,337000.0
1987-03-16,337000.0
1987-03-17,337000.0
1987-03-18,337000.0
1987-03-19,335000.0
1987-03-20,335000.0
1987-03-23,335000.0
1987-03-24,335000.0
1987-03-25,335000.0
1987-03-26,335000.0
1987-03-27,335000.0
1987-03-30,335000.0
1987-03-31,335000.0
1987-04-01,335000.0
1987-04-02,326000.0
1987-04-03,326000.0
1987-04-06,326000.0
1987-04-07,326000.0
1987-04-08,326000.0
1987-04-09,330000.0
1987-04-10,330000.0
1987-04-13,330000.0
1987-04-14,330000.0
1987-04-15,330000.0
1987-04-16,338000.0
1987-04-20,338000.0
1987-04-21,338000.0
1987-04-22,338000.0
1987-04-23,349000.0
1987-04-24,349000.0
1987-04-27,349000.0
1987-04-28,349000.0
1987-04-29,349000.0
1987-04-30,328000.0
1987-05-01,328000.0
1987-05-04,328000.0
1987-05-05,328000.0
1987-05-06,328000.0
1987-05-07,330000.0
1987-05-08,330000.0
1987-05-11,330000.0
1987-05-12,330000.0
1987-05-13,330000.0
1987-05-14,315000.0
1987-05-15,315000.0
1987-05-18,315000.0
1987-05-19,315000.0
1987-05-20,315000.0
1987-05-21,341000.0
1987-05-22,341000.0
1987-05-26,341000.0
1987-05-27,341000.0
1987-05-28,343000.0
1987-05-29,343000.0
1987-06-01,343000.0
1987-06-02,343000.0
1987-06-03,343000.0
1987-06-04,326000.0
1987-06-05,326000.0
1987-06-08,326000.0
1987-06-09,326000.0
1987-06-10,326000.0
1987-06-11,328000.0
1987-06-12,328000.0
1987-06-15,328000.0
1987-06-16,328000.0
1987-06-17,328000.0
1987-06-18,316000.0
1987-06-19,316000.0
1987-06-22,316000.0
1987-06-23,316000.0
1987-06-24,316000.0
1987-06-25,319000.0
1987-06-26,319000.0
1987-06-29,319000.0
1987-06-30,319000.0
1987-07-01,319000.0
1987-07-02,326000.0
1987-07-06,326000.0
1987-07-07,326000.0
1987-07-08,326000.0
1987-07-09,326000.0
1987-07-10,326000.0
1987-07-13,326000.0
1987-07-14,326000.0
1987-07-15,326000.0
1987-07-16,317000.0
1987-07-17,317000.0
1987-07-20,317000.0
1987-07-21,317000.0
1987-07-22,317000.0
1987-07-23,310000.0
1987-07-24,310000.0
1987-07-27,310000.0
1987-07-28,310000.0
1987-07-29,310000.0
1987-07-30,324000.0
1987-07-31,324000.0
1987-08-03,324000.0
1987-08-04,324000.0
1987-08-05,324000.0
1987-08-06,348000.0
1987-08-07,348000.0
1987-08-10,348000.0
1987-08-11,348000.0
1987-08-12,348000.0
1987-08-13,327000.0
1987-08-14,327000.0
1987-08-17,327000.0
1987-08-18,327000.0
1987-08-19,327000.0
1987-08-20,319000.0
1987-08-21,319000.0
1987-08-24,319000.0
1987-08-25,319000.0
1987-08-26,319000.0
1987-08-27,312000.0
1987-08-28,312000.0
1987-08-31,312000.0
1987-09-01,312000.0
1987-09-02,312000.0
1987-09-03,322000.0
1987-09-04,322000.0
1987-09-08,322000.0
1987-09-09,322000.0
1987-09-10,316000.0
1987-09-11,316000.0
1987-09-14,316000.0
1987-09-15,316000.0
1987-09-16,316000.0
1987-09-17,297000.0
1987-09-18,297000.0
1987-09-21,297000.0
1987-09-22,297000.0
1987-09-23,297000.0
1987-09-24,309000.0
1987-09-25,309000.0
1987-09-28,309000.0
1987-09-29,309000.0
1987-09-30,309000.0
1987-10-01,317000.0
1987-10-02,317000.0
1987-10-05,317000.0
1987-10-06,317000.0
1987-10-07,317000.0
