Date,ICSA,SMA5,SMA10,SMA50,EMA20,stoch5,ADOSC,MACDhist,WILLR,RSI,MOM,ROC,OBV,CCI
2005-11-25,309000.0,1691.6080080000054,1673.545007399999,1596.7902075400018,1649.0893355559458,88.5209687507346,1096894921.8080444,5.182735567357945,-4.027238079937209,76.6494299351145,50.11999500000002,3.035864231713848,280390710000.0,113.5615381218991
2005-11-28,309000.0,1692.5160158000058,1676.6480103999988,1598.4892090200017,1652.451305026808,69.72716460429493,453259203.2247925,3.3176024144543064,-23.93644368346133,67.35959436019952,31.030029999999897,1.876786076929271,278831330000.0,76.5826499700614
2005-11-29,309000.0,1690.6380130000057,1679.142004599999,1600.3050073600016,1654.7740346433025,41.898472589146586,-404910834.4574585,1.252821106699951,-32.95896295669214,63.5977614818154,24.939941999999974,1.5097730878173232,277077790000.0,48.26585041166667
2005-11-30,309000.0,1686.3220218000056,1681.9670045999987,1602.1922095200016,1656.4679417248926,13.375484283214549,-1197486959.3184204,-0.6230191585753033,-38.07357127183508,61.50098866643622,28.25,1.7180458056177406,275201710000.0,13.103663011890202
2005-12-01,311000.0,1687.8240236000056,1687.2500123999987,1605.0410107800014,1661.0214738463314,33.76309848798359,-826580523.0553589,0.0167478421133537,-1.374074920299836,69.52126899050538,52.83007799999996,3.1990117513406746,277212130000.0,89.95072503104615
2005-12-02,311000.0,1689.4340090000055,1690.5210084999987,1607.8758106000014,1665.6003788133476,67.00007619138525,-40176478.85177612,0.4829763021344035,-0.0,70.5260524019422,32.70996100000002,1.951214258455236,278970640000.0,112.56292737718468
2005-12-05,311000.0,1691.5100100000054,1692.013012899999,1610.3362110000014,1668.378439878743,86.45394727501302,113040462.455719,-0.4072091718984438,-20.43341648129077,63.7926650510427,14.920043999999962,0.8881771713642683,277310720000.0,65.25530415875618
2005-12-06,311000.0,1696.4120120000057,1693.525012499999,1612.9060108200013,1671.5185861760056,76.09415724331075,-321413190.29599,-0.7655537816356635,-20.59501947495285,65.42499909883686,15.1199959999999,0.896674604255332,279098920000.0,104.68965714017222
2005-12-07,311000.0,1701.3080080000054,1693.815014899999,1615.4700122800014,1673.9492007306717,56.44094047278411,-500032363.2723694,-1.4649885030834788,-33.02455991751031,63.4085245570752,2.9000240000000304,0.1711797120853786,277365390000.0,47.91707203195087
2005-12-08,321000.0,1697.5699954000054,1692.697009499999,1617.8056104200014,1675.0578450420362,44.38721259741754,-665942896.5218811,-2.793874168403594,-68.55002922309217,58.270243369609176,-11.180053999999927,-0.6589021416113838,275457030000.0,-38.85886512526222
2005-12-09,321000.0,1694.2739992000054,1691.854004099999,1619.8594092400017,1676.7304307523184,36.53063568510843,-252439111.4720459,-3.261900367271849,-53.03464630303497,60.39242252256551,-8.430053999999927,-0.495579421955028,277115600000.0,-37.81026940390883
2005-12-12,321000.0,1694.9899904000054,1693.250000199999,1621.7932080800012,1678.7894350616214,41.628827279563815,-50546253.42657471,-3.241353318925178,-40.38848946077282,62.08492331047437,13.95996100000002,0.8287843596603173,277189000000.0,32.28676089155367
2005-12-13,321000.0,1695.8739992000053,1696.143005599999,1623.7968091600012,1681.3590145795622,60.88642419283364,229857036.82562256,-2.80041156245047,-24.012337393167964,64.21728963063109,28.930053999999927,1.7252722136037013,279062980000.0,89.86213859286373
2005-12-14,321000.0,1696.2619874000054,1698.7849976999992,1625.8656079800014,1683.037201762461,68.45034074958055,246286115.9486084,-3.019561101933249,-38.99806087204733,60.84499676699454,26.41992100000016,1.5796097041678836,277386770000.0,46.823742796764925
2005-12-15,327000.0,1699.4839844000055,1698.526989899999,1628.4692066000016,1684.8146064517505,72.65065912853636,532823243.35220337,-3.0271660211956046,-32.99504273422022,61.71237469642149,-2.5800779999999577,-0.1513881496055469,279191400000.0,35.54960029715391
2005-12-16,327000.0,1698.6959962000055,1696.484997699999,1631.1840088600013,1685.1827443134885,45.619416364204994,-90410396.7817688,-3.899362289233231,-61.73015713199945,55.38738368883263,-20.41992200000004,-1.1947763317972204,276896920000.0,-13.864295411674746
2005-12-19,327000.0,1691.8979980000054,1693.443994199999,1633.3528076800014,1683.1996243788706,24.386955826212585,-863966393.501648,-5.980008837519513,-98.49326327489548,45.919973023140734,-30.41003499999988,-1.794345819263421,275151390000.0,-181.51903460131072
2005-12-20,327000.0,1683.7579832000054,1689.8159911999992,1635.7144068000014,1681.4729883427876,6.312040885551324,-1103348583.5802915,-7.098029990068568,-87.51276360189834,46.209030435263735,-36.2800299999999,-2.1324260447163845,276854310000.0,-225.86101062510195
2005-12-21,327000.0,1678.0839842000053,1687.1729857999992,1638.3404053200015,1680.4384165958554,14.37357073424362,-1307245005.720795,-7.229665537315054,-78.11331827046057,48.52129659540037,-26.430053999999927,-1.5574207674896146,278484340000.0,-124.77396212413434
2005-12-22,312000.0,1674.413989200005,1686.9489867999994,1641.5836060200015,1680.7157079676788,32.134143714298204,-943785932.0365295,-6.260191157308928,-56.49815474408308,53.47423530107779,-2.2399900000000343,-0.1328905632557608,279983220000.0,-64.29894625048605
2005-12-23,312000.0,1673.261987200005,1685.9789916999991,1644.5660059200015,1680.9256447326618,49.979069553388,-816980893.1661682,-5.477589332489632,-57.22759407298235,53.28790677534607,-9.699951000000056,-0.5730731663724731,279004850000.0,-32.759103551900026
2005-12-27,312000.0,1674.063989200005,1682.980993599999,1647.0476050400016,1679.7298685676465,50.967784055566256,-1032676004.228424,-5.741769231464881,-80.30296565991922,47.28320994436539,-29.979980999999952,-1.7652416418086905,277754350000.0,-73.24386197742483
2005-12-28,312000.0,1674.469995200005,1679.1139891999992,1649.3920044600015,1678.527021656442,37.95809611200611,-1090623130.3510437,-5.787615744994112,-82.64963808662594,46.78761848879509,-38.67004399999996,-2.2670139319250104,276532810000.0,-108.11477183835474
2005-12-29,320000.0,1671.419995200005,1674.751989699999,1651.7306030800016,1676.3206372129714,16.73252096242538,-1314745723.1703796,-6.349189778628521,-96.86113500622386,42.36696530469752,-43.61999500000002,-2.567422542554032,275347460000.0,-126.4158054485478
2005-12-30,320000.0,1663.7899902000051,1669.1019896999992,1653.2424024000015,1673.3567623355457,8.978941382095186,-1356024884.413147,-7.089272939275605,-95.22657226769466,38.93815865931594,-56.5,-3.3202092981666875,274063410000.0,-163.71131036281022
2006-01-03,320000.0,1663.1919922000052,1668.2269896999992,1655.7292041600017,1673.9827901131123,29.420648849840603,-773698021.3387451,-5.021504221391128,-40.787518101434806,52.95436709163717,-8.75,-0.5181561764334042,276061710000.0,-55.109111344763946
2006-01-04,320000.0,1668.683984400005,1671.373986799999,1658.3434033800015,1676.0634725785303,60.70357685270858,53456139.48196411,-2.4924786093612523,-16.06858446226284,57.73726695961248,31.469970999999987,1.8908151652059724,277942710000.0,78.71747895247594
2006-01-05,302000.0,1676.3219970000052,1675.3959960999994,1660.6362036800017,1678.8469550948607,90.79558291565058,708243115.796936,-0.2122151547727488,-3.2661939674800795,60.321951023325205,40.22009299999991,2.4155197261604977,279834460000.0,138.22021480281256
2006-01-06,302000.0,1692.2479980000055,1681.8339965999992,1663.6196045600016,1684.193910800112,98.21705939242266,1593007493.2328186,3.0847385936115312,-0.5005987190518549,67.12055616918236,64.38000499999998,3.8536825218364656,282068100000.0,212.8553900361956
2006-01-09,302000.0,1711.5880126000054,1687.6890013999994,1666.9548047400017,1689.6897311048633,97.78178031525132,2172978126.343933,5.384672353363031,-2.8878663677129928,68.47402174989531,58.55004800000006,3.478186285369333,284017240000.0,198.0213668078208
2006-01-10,302000.0,1724.4060058000057,1693.7989989999994,1670.9676050400014,1694.8640443329716,98.29099808752215,2802277812.180847,6.621165179321441,-0.986524663677207,68.89704471965359,61.09997599999997,3.630592921977227,285995400000.0,148.3974292824197
2006-01-11,302000.0,1736.8880126000054,1702.7859984999996,1674.9902051400015,1700.8998486822125,96.78419586785289,3285426518.432007,7.883395931275473,-2.5187514521084795,71.64536741580663,89.86999500000002,5.386694514366397,288376000000.0,145.2271459161623
2006-01-12,326000.0,1745.3000000000054,1710.8109984999996,1678.3536035800016,1705.3236703315256,88.45169829840397,2877924314.5312195,7.475162123509028,-11.037225244568706,66.7788378471239,80.25,4.813748494709347,286364540000.0,108.57998900202224
2006-01-13,326000.0,1747.6580078000054,1719.9530028999998,1681.7588037600017,1709.2718949666184,73.67241407559972,2694109959.5672607,6.682878942596044,-11.483053742364111,66.52415404184315,91.42004399999996,5.522668472622283,284580130000.0,82.74340345774431
2006-01-17,326000.0,1746.5560060000057,1729.0720092999995,1684.5408032800017,1711.8545730650358,49.89950117531729,2624173966.4693,5.049488481006287,-19.6104135384392,61.89021011229252,91.1900639999999,5.542795205201156,282877870000.0,53.66091004229487
2006-01-18,326000.0,1741.0760010000056,1732.7410033999995,1686.4798023000017,1712.3084227731276,31.366160270738884,2326114378.4465027,2.364414422720172,-35.075076600067305,54.15946368520175,36.68994100000009,2.1840159899895406,280600970000.0,13.937978473720348
2006-01-19,285000.0,1735.4120118000058,1736.1500121999998,1688.5176026000015,1713.9857200328297,27.502786391212798,1944686157.577179,1.2659870466592889,-24.67140596705107,57.96359784892714,34.09008799999992,2.010230322880324,282909120000.0,35.7187268402524
2006-01-20,285000.0,1721.218017600006,1733.2590087999995,1689.4598023000017,1710.4042233630364,20.5201630077431,923133656.1996764,-3.048843255407929,-66.55192320686321,42.62772715573937,-28.910034,-1.6953147757171605,280560980000.0,-61.5061741264467
2006-01-23,285000.0,1707.122021600006,1727.3900146999997,1690.4178028000017,1707.156206757033,17.786766985079904,280329326.08670044,-5.734815530007982,-66.61446702825317,42.60959633004386,-58.68994100000009,-3.382725049612534,278658500000.0,-116.84827105892693
2006-01-24,285000.0,1697.0880128000058,1721.8220093999996,1691.5380030000017,1705.1622795420776,11.162770698421316,-167247534.63406372,-6.607808387173943,-82.69040363670774,45.69563945605098,-55.68005300000004,-3.196512557140885,280725970000.0,-100.2916634419949
2006-01-25,285000.0,1689.1640138000062,1715.1200073999996,1692.0594019200016,1702.4801576809273,13.423099386238116,-647736062.9958191,-7.505099865658504,-92.68073780968194,43.36177441793348,-67.02001999999993,-3.842846941630862,278537850000.0,-113.84376065241597
2006-01-26,290000.0,1681.278003000006,1708.3450073999998,1692.8020020200015,1701.3382369494104,22.50557177572234,-384763395.8476257,-6.904181450107259,-77.87772095480517,47.58031419669116,-67.75,-3.8532851252006894,280942770000.0,-85.86276026101677
2006-01-27,290000.0,1688.223999000006,1704.7210082999998,1693.9862012400015,1702.2688796208952,40.86121564784941,-200448177.94961548,-4.924958946231925,-55.25071133267246,53.30538568027136,-36.23999099999992,-2.0739972814696084,283274460000.0,-19.07399896899963
2006-01-30,290000.0,1695.6539794000062,1701.3880005,1695.3689990800017,1703.3337435617625,65.02243306087975,-452056715.7270813,-3.3409600237896937,-52.682988440525136,53.920421867529946,-33.33007799999996,-1.908086733684544,285175190000.0,-1.90826241068286
2006-01-31,290000.0,1700.5599852000062,1698.8239989999995,1696.5550000600017,1704.0400536987372,78.78316627217417,-384207830.20480347,-2.40173643145903,-55.6457349036687,53.05212609094124,-25.64001499999995,-1.476627645776918,282939290000.0,-12.675507909556462
2006-02-01,290000.0,1707.763989200006,1698.4640014999998,1697.2876001600016,1704.8952885845715,79.04220881196728,303363516.5107727,-1.5932351957616913,-52.455679410051374,53.72681303062081,-3.599975000000086,-0.2097129830996857,285213900000.0,-9.742550257973976
2006-02-02,282000.0,1706.819995200006,1694.0489990999995,1697.4060010400017,1703.07383443366,52.67486807497807,-116239037.51498412,-2.7893185784104944,-80.68544953879457,45.30911307951049,-44.15002400000003,-2.552142461909068,282906070000.0,-49.178081735950784
2006-02-03,282000.0,1697.5040040000065,1692.8640014999996,1696.9720020200016,1699.4029958209303,30.340198560127615,-496570418.2239075,-4.789233942064283,-92.5191255108368,40.04287897678566,-11.84997599999997,-0.7068788678376015,280676050000.0,-134.15720468640046
2006-02-06,282000.0,1686.322021600006,1690.9880005,1696.2400025000015,1695.4160475522706,7.499026172143516,-722761835.6587219,-6.267819344396717,-92.68967549723456,38.45865843562758,-18.76000999999997,-1.1191319842286718,278906520000.0,-144.59865942708075
2006-02-07,282000.0,1674.5400148000058,1687.55,1695.3414014200016,1691.2659445472923,9.900904223241628,-930753555.384674,-7.245530219181663,-92.68929503916448,37.16731982377085,-34.38000499999998,-2.0388801930516287,276789340000.0,-139.99268385384917
2006-02-08,282000.0,1666.030005000006,1686.8969971,1694.7297998600015,1689.2853756380266,19.504811687645528,-385594526.4832764,-6.288846656553963,-68.81237751437837,43.80834418398265,-6.530029000000013,-0.389387537268937,278971110000.0,-83.50386900153657
2006-02-09,289000.0,1659.691992200006,1683.2559937,1694.1235986800018,1685.932478529643,24.55047042418012,-767574419.586029,-6.390435378816111,-88.16752517937995,39.82075807460637,-36.410034,-2.153815415375515,276649800000.0,-80.78949739386196
2006-02-10,289000.0,1659.535986400006,1678.5199951999998,1693.8617993600017,1683.81986152682,40.961843605578544,-414899322.91970825,-5.472346039206926,-69.07905171614007,43.11091037948699,-47.35998500000005,-2.767793152700237,278667530000.0,-90.60607741480436
2006-02-13,289000.0,1657.193969800006,1671.7579956999998,1693.327197300002,1680.2017752861705,34.474355253131286,-314926053.28707886,-5.711532382235021,-89.99656636104906,38.86982355249478,-67.61999500000002,-3.946423702690338,277005530000.0,-104.25884369405362
